host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number,predicted_price,listing_id,host_listings_count,host_total_listings_count,review_scores_rating,review_scores_value,review_scores_accuracy,review_scores_checkin,calculated_host_listings_count
f,t,t,Zuid,52.34744,4.86886,Entire home/apt,4,3.0,4.0,284.0,3,3,f,0.22,22,196.83891061465874,203658,1.0,1.0,97.0,9.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.36889,4.8642900000000004,Entire home/apt,2,1.0,1.0,99.0,1,1,f,0.03,7,119.17785448738323,205759,1.0,1.0,90.0,8.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.36895,4.86452,Entire home/apt,4,2.0,3.0,246.0,3,3,f,0.19,35,189.82558631569918,212050,1.0,1.0,96.0,9.0,10.0,10.0,1
f,t,t,Zuid,52.35165,4.8465300000000004,Entire home/apt,2,1.0,1.0,151.0,2,2,f,0.37,31,144.82468183243964,213721,1.0,1.0,99.0,9.0,10.0,10.0,1
t,t,f,Centrum-West,52.37169,4.89446,Private room,3,1.0,2.0,99.0,3,3,f,1.54,23,127.87797541402688,214531,1.0,1.0,96.0,9.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.33762,4.8936,Entire home/apt,4,2.0,3.0,157.0,3,3,f,0.2,41,202.41072002408646,217692,3.0,3.0,97.0,10.0,10.0,10.0,2
f,t,f,Centrum-West,52.36891,4.8897,Private room,2,1.0,1.0,245.0,2,2,f,0.1,17,111.00914322485255,219276,2.0,2.0,100.0,9.0,10.0,10.0,1
t,t,t,De Baarsjes - Oud-West,52.3611,4.8589400000000005,Entire home/apt,2,1.0,1.0,119.0,3,3,f,1.19,29,138.92395838813786,222516,1.0,1.0,94.0,9.0,10.0,10.0,1
t,t,t,De Baarsjes - Oud-West,52.35957,4.86589,Entire home/apt,4,1.0,2.0,135.0,4,4,f,0.86,30,170.33320669911427,226121,1.0,1.0,97.0,10.0,10.0,10.0,1
f,t,t,Centrum-West,52.37591,4.87807,Entire home/apt,4,2.0,2.0,125.0,14,14,f,0.15,17,191.75542132640476,230710,1.0,1.0,91.0,9.0,10.0,10.0,1
t,t,t,Centrum-West,52.367909999999995,4.88809,Private room,4,2.0,3.0,110.0,2,1,t,1.0,36,170.9702649400233,245927,2.0,2.0,96.0,9.0,10.0,10.0,1
t,t,t,De Baarsjes - Oud-West,52.36707,4.873480000000001,Private room,2,1.0,2.0,128.0,2,2,f,3.16,28,90.9771224708386,247805,1.0,1.0,97.0,9.0,10.0,10.0,1
t,t,t,Oostelijk Havengebied - Indische Buurt,52.3661,4.93299,Entire home/apt,2,1.0,1.0,79.0,4,4,f,1.49,7,101.21162207620955,250751,1.0,1.0,92.0,9.0,10.0,9.0,1
t,t,f,Centrum-Oost,52.365970000000004,4.90801,Private room,2,1.0,1.0,149.0,2,2,f,1.23,27,116.24217261703734,254104,1.0,1.0,98.0,10.0,10.0,10.0,1
f,t,t,Centrum-West,52.37131,4.88206,Entire home/apt,2,1.0,1.0,296.0,3,3,f,0.54,16,144.8853833507883,254800,1.0,1.0,98.0,9.0,10.0,10.0,1
t,t,t,De Pijp - Rivierenbuurt,52.34426,4.88722,Private room,4,2.0,2.0,155.0,2,2,f,0.87,26,150.38066317349762,255809,2.0,2.0,97.0,9.0,10.0,10.0,2
f,t,t,De Baarsjes - Oud-West,52.35941,4.85995,Entire home/apt,5,4.0,6.0,250.0,5,5,f,0.08,24,224.41365554471668,256670,1.0,1.0,91.0,9.0,9.0,9.0,1
t,t,t,Zuid,52.35519,4.85117,Private room,2,1.0,1.0,88.0,3,3,f,1.15,19,94.96828172856567,262394,1.0,1.0,96.0,9.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.360479999999995,4.86345,Entire home/apt,2,1.0,1.0,85.0,2,2,t,0.2,19,128.77407400442303,265349,1.0,1.0,94.0,9.0,10.0,10.0,1
t,t,t,Bos en Lommer,52.37745,4.85994,Private room,2,1.0,1.0,52.0,3,3,f,2.16,34,84.80026167440087,270839,1.0,1.0,98.0,9.0,10.0,10.0,1
f,t,t,Zuid,52.34633,4.85629,Entire home/apt,2,1.0,1.0,145.0,5,5,f,0.1,20,135.68550908498173,272597,1.0,1.0,100.0,9.0,10.0,10.0,1
f,t,t,Bos en Lommer,52.379540000000006,4.85426,Entire home/apt,2,1.0,1.0,125.0,2,2,f,0.4,16,109.39740565424472,274688,1.0,1.0,97.0,9.0,10.0,10.0,1
f,t,t,Centrum-Oost,52.36427,4.88523,Entire home/apt,4,2.0,2.0,207.0,3,3,f,0.34,9,180.5496109488406,274706,1.0,1.0,99.0,9.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.3583,4.85909,Entire home/apt,2,1.0,1.0,125.0,4,4,t,0.2,9,118.93333478231784,277011,2.0,2.0,98.0,10.0,10.0,10.0,2
f,t,t,Zuid,52.35017,4.85255,Entire home/apt,3,2.0,3.0,116.0,10,10,f,0.03,8,153.2653647809807,282269,1.0,1.0,100.0,10.0,10.0,10.0,1
f,t,f,Centrum-West,52.38057,4.88565,Entire home/apt,4,2.0,3.0,228.0,7,7,t,0.47,26,197.86791870975458,283621,9.0,9.0,85.0,9.0,9.0,9.0,3
