host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number
t,t,t,Centrum-Oost,52.37021,4.93007,Entire home/apt,2,1.0,1.0,99.0,6,6,f,0.55,24
f,t,t,Centrum-Oost,52.37031,4.93244,Entire home/apt,4,2.0,3.0,109.0,2,2,t,1.97,25
f,t,t,Centrum-Oost,52.36248,4.90204,Entire home/apt,2,1.0,1.0,300.0,3,3,f,0.17,22
t,t,f,De Baarsjes - Oud-West,52.36594,4.87807,Entire home/apt,2,1.0,1.0,104.0,3,3,f,0.65,22
t,t,f,Centrum-West,52.38444,4.89191,Entire home/apt,2,1.0,1.0,120.0,3,3,f,1.12,25
t,t,t,Centrum-Oost,52.37213,4.90379,Entire home/apt,2,1.0,1.0,275.0,2,2,f,1.5,35
f,t,t,Oud-Oost,52.35466,4.90763,Private room,2,1.0,1.0,199.0,3,2,t,0.8,23
f,t,t,Centrum-West,52.37393,4.87793,Entire home/apt,3,1.0,1.0,250.0,2,2,f,1.07,26
f,t,f,Westerpark,52.37927,4.8775,Entire home/apt,4,2.0,2.0,295.0,4,4,f,0.54,16
t,t,t,Centrum-West,52.37824,4.88532,Private room,2,1.0,1.0,85.0,3,3,f,5.57,18
t,t,t,Watergraafsmeer,52.35338,4.93407,Entire home/apt,2,1.0,1.0,147.0,2,2,t,1.93,29
f,t,t,Oud-Oost,52.36131,4.92579,Entire home/apt,4,2.0,3.0,133.0,2,2,f,0.14,12
f,t,f,De Baarsjes - Oud-West,52.35971,4.86177,Entire home/apt,3,1.0,2.0,199.0,20,20,f,0.24,27
f,t,t,Slotervaart,52.34949,4.83201,Entire home/apt,2,1.0,2.0,150.0,4,4,f,0.07,14
f,t,f,Zuid,52.35099,4.84665,Entire home/apt,2,1.0,1.0,98.0,4,4,f,0.11,30
f,t,t,Centrum-Oost,52.363,4.89917,Entire home/apt,4,2.0,3.0,280.0,180,180,f,0.76,18
f,t,f,Oostelijk Havengebied - Indische Buurt,52.36958,4.93516,Entire home/apt,3,1.0,1.0,145.0,2,2,f,0.66,8
f,t,f,De Baarsjes - Oud-West,52.36872,4.86022,Entire home/apt,4,2.0,2.0,185.0,3,3,t,0.2,23
t,t,t,Centrum-West,52.37964,4.89442,Entire home/apt,3,3.0,5.0,192.0,7,4,t,1.29,33
f,t,t,Bos en Lommer,52.37853,4.85573,Entire home/apt,2,2.0,1.0,45.0,4,4,f,0.18,21
f,t,t,De Pijp - Rivierenbuurt,52.35298,4.90512,Entire home/apt,2,1.0,1.0,109.0,3,3,f,1.2,7
f,t,t,De Baarsjes - Oud-West,52.36994,4.86707,Entire home/apt,2,1.0,1.0,140.0,4,4,f,0.57,19
f,t,f,Zuid,52.34279,4.84985,Entire home/apt,4,2.0,2.0,220.0,3,3,f,1.03,13
f,t,t,Oostelijk Havengebied - Indische Buurt,52.37379,4.94488,Entire home/apt,4,3.0,3.0,175.0,4,4,f,0.33,37
t,t,t,Centrum-Oost,52.36147,4.8989,Hotel room,2,1.0,1.0,102.0,1,1,f,0.96,21
f,t,f,Centrum-Oost,52.36446,4.88871,Entire home/apt,2,1.0,1.0,149.0,4,4,f,0.18,12
f,t,t,De Baarsjes - Oud-West,52.36903,4.85603,Private room,3,2.0,3.0,76.0,3,3,t,3.88,11
f,t,t,De Pijp - Rivierenbuurt,52.35852,4.90356,Private room,3,2.0,2.0,100.0,2,2,f,2.34,9
f,t,t,Zuid,52.35353,4.84709,Entire home/apt,2,1.0,1.0,105.0,5,5,t,0.75,25
f,t,t,Centrum-Oost,52.37007,4.9017,Entire home/apt,4,2.0,3.0,275.0,3,3,f,0.79,17
f,t,t,Centrum-West,52.37116,4.87896,Entire home/apt,4,1.0,3.0,179.0,3,3,f,0.59,14
f,t,t,Oud-Oost,52.35698,4.92061,Entire home/apt,4,3.0,3.0,175.0,3,3,f,0.18,25
f,t,f,Oud-Oost,52.36048,4.92685,Entire home/apt,2,1.0,1.0,110.0,3,3,f,0.45,10
f,t,t,Centrum-West,52.37393,4.89355,Entire home/apt,2,3.0,2.0,175.0,3,3,f,0.47,41
t,t,t,Westerpark,52.3816,4.87211,Entire home/apt,4,1.0,1.0,150.0,2,2,f,1.93,14
f,t,f,Centrum-West,52.37074,4.89435,Entire home/apt,2,1.0,1.0,160.0,2,2,t,1.55,14
f,t,f,De Baarsjes - Oud-West,52.36975,4.86026,Entire home/apt,2,1.0,1.0,125.0,3,3,f,0.31,14
